Name,Level,Attribute, Monster Type , Card Type ,Atk,Def,Description,Price,AttackerEffect,BeingAttackedEffect,ContinuousMonsterEffect,FlipEffect,OptionalMonsterEffect,SentToGraveyardEffect,SummoningRequirement,UponSummoningEffect
Marshmallon,3,LIGHT,Fairy,Effect,300,500,"Cannot be destroyed by battle. After damage calculation, if this card was attacked, and was face-down at the start of the Damage Step: The attacking player takes 1000 damage.",700,",",",CANNOT_BE_DESTROYED_BY_BATTLE,IF_FACE_DOWN_AT_THE_BEGINNING_THEN_OPPONENT_RECEIVES_1000_DAMAGE",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Beast King Barbaros,8,EARTH,Beast-Warrior,Effect,3000,1200,"You can Normal Summon/Set this card without Tributing, but its original ATK becomes 1900. You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all cards your opponent controls.",9200,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_2_MONSTERS",",SET_ATK_1900_IF_NORMAL_SUMMONED,SET_ATK_1900_IF_SET,DESTROY_ALL_OF_YOUR_OPPONENTS_CARDS"
Texchanger,1,DARK,Cyberse,Effect,100,100,"Once per turn, when your monster is targeted for an attack: You can negate that attack, then Special Summon 1 Cyberse Normal Monster from your hand, Deck, or GY.",200,",",",NEGATE_ATTACK_ONCE_PER_TURN,SPECIAL_SUMMON_CYBERSE_NORMAL_MONSTER_FROM_HAND_GV_DECK_ONCE_PER_TURN",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Leotron,4,EARTH,Cyberse,Normal,2000,0,A territorial electronic monster that guards its own domain.,2500,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
The Calculator,2,LIGHT,Thunder,Effect,0,0,The ATK of this card is the combined Levels of all face-up monsters you control x 300.,8000,",",",",",ATK_IS_SET_300_MULTIPLIED_BY_TOTAL_OF_FACE_UP_MONSTER_LEVELS_YOU_CONTROL",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Alexandrite Dragon,4,LIGHT,Dragon,Normal,2000,100,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.",2600,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Mirage Dragon,4,LIGHT,Dragon,Effect,1600,600,Your opponent cannot activate Trap Cards during the Battle Phase.,2500,",",",",",OPPONENT_CANNOT_ACTIVATE_TRAP_CARDS_WHILE_THIS_CARD_IS_FACE_UP",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Herald of Creation,4,LIGHT,Spellcaster,Effect,1800,600,"Once per turn: You can discard 1 card, then target 1 Level 7 or higher monster in your Graveyard; add that target to your hand.",2700,",",",",",",",",",ONCE_PER_TURN_DISCARD_1_CARD_SEND_LEVEL_7_OR_MORE_MONSTER_FROM_GY_TO_HAND",",",",CAN_BE_NORMAL_SUMMONED",","
Exploder Dragon,3,EARTH,Dragon,Effect,1000,0,If this card is destroyed by battle and sent to the Graveyard: Destroy the monster that destroyed it. Neither player takes any battle damage from attacks involving this attacking card.,1000,",",",NEITHER_PLAYER_RECEIVES_BATTLE_DAMAGE_IF_MONSTER_DIES,IF_DESTROYED_AND_SENT_TO_GRAVEYARD_SEND_ATTACKING_MONSTER_TO_GRAVEYARD",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Warrior Dai Grepher,4,EARTH,Warrior,Normal,1700,1600,The warrior who can manipulate dragons. Nobody knows his mysterious past.,3400,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Dark Blade,4,DARK,Warrior,Normal,1800,1500,"They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.",3500,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Wattaildragon,6,LIGHT,Dragon,Normal,2500,1000,"Capable of indefinite flight. Attacks by wrapping its body with electricity and ramming into opponents.
IMPORTANT: Capturing the ""Wattaildragon"" is forbidden by the Ancient Rules and is a Level 6 offense, the minimum sentence for which is imprisonment for no less than 2500 heliocycles.",5800,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_1_MONSTER",","
"Terratiger, the Empowered Warrior",4,EARTH,Warrior,Effect,1800,1200,When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower Normal Monster from your hand in Defense Position.,3200,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",",IF_NORMAL_SUMMONED_SPECIAL_SUMMON_1_LEVEL_4_OR_LESS_NORMAL_MONSTER_FROM_HAND_IN_DEFENSE_POSITION"
The Tricky,5,WIND,Spellcaster,Effect,2000,1200,You can Special Summon this card (from your hand) by discarding 1 card.,4300,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_1_MONSTER,CAN_BE_SPECIAL_SUMMONED,DISCARD_1_CARD",","
Spiral Serpent,8,WATER,Sea Serpent,Normal,2900,2900,"When huge whirlpools lay cities asunder, it is the hunger of this sea serpent at work. No one has ever escaped its dreaded Spiral Wave to accurately describe the terror they experienced.",11700,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_2_MONSTERS",","
Command Knight,4,FIRE,Warrior,Effect,1200,1900,"All Warrior-Type monsters you control gain 400 ATK. If you control another monster, monsters your opponent controls cannot target this card for an attack.",2100,",",",",",ALL_MONSTERS_OWNER_CONTROLS_GAIN_400_ATK,CANNOT_BE_ATTACKED_IF_YOU_CONTROL_ANOTHER_MONSTER",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
